GeneID	Symbol	BLCA	BRCA	COAD	HNSC	KICH	KIRC	LUAD	LUSC	PRAD	THCA	UCEC
10010	TANK	0.00469485640776938	8.21820076208655e-44	2.77462783615842e-5	0.0288486927336803	4.89031873618645e-5	4.39935092891486e-11	0.0031447288742074	4.41807429095299e-11	2.03465585629366e-12	1.067327357107e-22	0.0205729434653179
10018	BCL2L11	0.00289926417944121	8.87427882650154e-4	3.50071061021824e-13	1.52572001072333e-6	0.00207009060643376	3.89867414499143e-5	3.38502855015974e-13	2.22627641751022e-20	0.736740151670423	3.24510204694925e-29	6.24840184505549e-7
10019	SH2B3	0.00688371227611733	8.00721705406403e-15	5.48869120324397e-15	2.15908567350625e-6	0.884055393967904	8.85076876249705e-35	3.14314136364062e-32	1.01263955738788e-49	0.151993856010671	1.93231732684129e-6	1.71904655919278e-9
1002	CDH4	0.0161052999291532	2.43951042274532e-31	0.0203185948206691	0.0177898690639065	8.0509036031138e-6	7.46247826252396e-33	2.29173678162466e-5	0.00124945880867291	7.62430041412626e-4	9.45061455286887e-26	1.63600381683346e-4
1003	CDH5	8.26882771079097e-6	5.14790641491321e-43	0.0111635250412121	0.563866269948775	0.00721953051338968	2.04310989713791e-31	1.98911154417354e-44	3.43566762273026e-59	0.129188250240107	0.0283241493307904	4.33211782517687e-6
10048	RANBP9	0.373634611301752	1.0034701515577e-20	0.921838548632107	4.06035245824442e-8	0.259435262761085	4.27638781314158e-18	4.5023258001997e-23	8.93912663661993e-11	0.107620512580249	1.68231950498232e-13	0.0398517159887179
10077	TSPAN32	3.37784670584459e-5	2.14191438637461e-5	1.74078372142206e-7	0.161740825606806	0.00125868655572666	1.14629481420193e-36	5.05438124840491e-26	2.36466511310204e-33	0.0508402780119383	0.359062807803618	1.8075008987534e-9
10078	TSSC4	0.0319427139611655	9.5573512920233e-9	0.0721252446100479	0.49500990649385	7.33357529650636e-8	7.3648110629563e-4	0.0709474462801468	0.978819186310091	2.32638638621879e-6	0.938789892844862	0.804760620922463
1009	CDH11	3.20928850656654e-5	3.43805459332704e-36	2.43594707974058e-21	1.44356345502081e-9	4.2598582692922e-12	7.97449214090917e-7	0.167828398799246	9.3649319905309e-14	0.442425125941548	2.47992558284788e-4	4.76961737955572e-9
1012	CDH13	0.0419387101560935	2.39340317898664e-48	0.0417720876075367	0.00659922260635289	9.20567241056732e-9	1.34249985444052e-25	3.52830557669845e-36	4.60500324471127e-16	0.232264150768387	1.27875457916163e-31	7.77257425162589e-10
